id,category,question,A,B,C,D,answer
1,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
2,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
3,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
4,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
5,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
6,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
7,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
8,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
9,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
10,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
11,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
12,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
13,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
14,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
15,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
16,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
17,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
18,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
19,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
20,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
21,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
22,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
23,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
24,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
25,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
26,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
27,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
28,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
29,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
30,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
31,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
32,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
33,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
34,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
35,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
36,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
37,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
38,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
39,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
40,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
41,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
42,Road Signs,Triangle sign indicates?,Warning,Order,Info,Speed,A
43,Road Signs,What does STOP sign mean?,Stop,Go,Speed,Park,A
